"","Municipality","GINI","population","education","Total.Income","Total.Expenses","Monthly.Wage","Worked.Hours.Week"
"33","Donato Guerra",0.403952986001968,37436,58.3264291632146,232.709003329277,171.398993194103,1999.05974262799,24.4714680651652
"34","Ecatepec de Morelos",0.363907009363174,1645352,68.8882294967307,245459.221557617,164982.692321777,1442.81406671778,24.8541114562155
"35","Ecatzingo",0.373066991567612,10827,66.4101403349932,78.1029986739159,54.2660001218319,1687.93213346968,23.9014807020732
"36","El Oro",0.379453003406525,36937,68.7941424220825,565.319008886814,416.936984360218,1082.16186024885,20.9176699252891
"37","Huehuetoca",0.314893990755081,163244,66.8157463578798,18873.4810757637,13333.8004007339,1878.99518839283,26.0024975089949
"38","Hueypoxtla",0.336421996355057,46757,68.223946545964,781.031004548073,548.733985602856,1538.9071122652,23.165904892516
"39","Huixquilucan",0.406352996826172,284965,70.0716140709845,40640.0688762665,29544.4791765213,2249.61260982506,25.5415362383617
"40","Isidro Fabela",0.337668985128403,11929,66.8337510442774,97.0649981498718,67.9239978790283,1935.15226247098,24.6232759759888
"41","Ixtapaluca",0.349624991416931,542211,67.3791456008903,33839.5484237671,24141.6786270142,1985.27163232349,24.6834452293757
"42","Ixtapan de la Sal",0.362724989652634,36911,68.4943666780471,2762.23303890228,2022.6819652319,1835.25175692647,25.4932497846879
"43","Ixtapan del Oro",0.393312990665436,6475,52.7588555858311,45.6389993429184,25.9320002794266,1687.93213346968,23.9014807020732
"44","Ixtlahuaca",0.366057008504868,160139,66.8497892835641,8407.2011423111,5897.75211286545,1347.10851814749,22.9528292953644
"45","Jaltenco",0.331102013587952,28217,68.3520599250936,595.345014572144,394.911996304989,1864.0858813343,27.2568105312245
"46","Jilotepec",0.356256991624832,87671,71.4312210200927,33148.4830225706,26088.3398121297,1778.52818683485,24.5707913084762
"47","Jilotzingo",0.34349000453949,19877,68.6537702329254,665.462007045746,484.268991187215,1698.90467947107,25.5219336366324
"48","Jiquipilco",0.35869899392128,76826,67.530525030525,507.017006576061,369.072996884584,1542.45960119818,22.3027631812759
"49","Jocotitlán",0.346307009458542,69264,75.0455838377945,12933.3290774822,10824.3741689622,1505.51124005716,23.7354284087569
"50","Joquicingo",0.336140990257263,15428,68.4161052796491,177.205999046564,135.296002328396,1172.75655419688,20.4744200358548
"51","Juchitepec",0.353152006864548,27116,63.8390326846779,566.398008197546,393.668009951711,1612.59964358765,24.6799593989819
"52","La Paz",0.364529013633728,304088,64.3009541365832,32043.0455322266,22884.1134414673,1960.28522259544,25.1191802039935
"53","Lerma",0.386072993278503,170327,75.0460274748619,132360.895076752,93542.9151697159,1756.47210019781,23.3470682412613
"54","Luvianos",0.394394993782043,28822,64.5231916963996,267.33899474144,170.207997620106,976.210557812118,17.169042702743
"55","Malinalco",0.385605990886688,28155,63.6778523489933,623.128983139992,396.897994294763,1449.92320406442,22.6749833506859
"56","Melchor Ocampo",0.351249992847443,61220,65.3567953978258,1856.34697210789,1289.38401442766,1735.64181307116,26.5645587887169
"57","Metepec",0.399284988641739,242307,73.2523207997833,82618.9837646484,58650.3413391113,1517.40192107138,23.7440708502313
"58","Mexicaltzingo",0.394279003143311,13807,68.8125353973948,551.589997678995,403.258004084229,1349.45007869957,25.5360131073904
"59","Morelos",0.385563999414444,33164,62.6827855798465,852.103980630636,634.889999911189,1094.19858977771,18.2907223708785
"60","Naucalpan de Juárez",0.389654010534286,834434,67.3298395445135,220753.712646484,154310.00252533,2031.03346509666,24.3620436672488
"61","Nextlalpan",0.340314000844955,57082,67.7089623048391,1070.45798265934,789.014989346266,1938.0457014958,28.136395239655
"62","Nezahualcóyotl",0.368353992700577,1077208,71.288747157323,56027.1602172852,39087.8486099243,1594.38083278241,23.5989295002888
"63","Nicolás Romero",0.351788997650146,430601,69.9962955288917,20474.951682806,14797.2004752159,2071.70851891548,24.0935774434841
"64","Nopaltepec",0.327401995658875,10351,66.3508322663252,255.619993805885,150.220003947616,1497.28052935465,25.3012131779111
"65","Ocoyoacac",0.373322010040283,72103,71.9159281624971,18083.4760293961,11393.048384428,1854.69139120994,25.1347777551286
"66","Ocuilan",0.34068900346756,36223,66.5627187678992,473.178003966808,338.75200457871,1606.57325544529,26.6157192225992
"67","Otumba",0.350805997848511,36331,63.5479951397327,1349.52800536156,872.552019476891,1537.53736359394,25.144307739249
"68","Otzoloapan",0.375914007425308,4891,70.5489260143198,26.1910003945231,19.0159998014569,1404.85233894348,20.7709806435563
"69","Otzolotepec",0.366034001111984,88783,65.1258935239518,981.718996763229,684.90399491787,1642.82947270085,23.8770959897408
"70","Ozumba",0.369672000408173,30785,61.4789833018014,1368.7069965601,916.813014060259,1450.74240343814,25.1139903886969
"71","Papalotla",0.407110989093781,4862,70.0717835450028,139.227000534534,100.0019993186,1687.93213346968,23.9014807020732
"72","Polotitlán",0.336562991142273,14985,69.4250403009135,1374.12598067522,955.26102989912,1748.39724605213,22.0805147259713
"73","Rayón",0.331970006227493,15972,68.5324553151458,1087.00698973238,616.111001297832,1687.93213346968,23.9014807020732
"74","San Antonio la Isla",0.363090008497238,31962,73.5968992248062,6483.94616395235,4389.28586825728,2221.3813488007,25.9431890704334
"75","San Felipe del Progreso",0.406574010848999,144924,61.1831173147225,1565.31194603443,1208.90401303768,1256.99230797037,19.6496292871697
"76","San José del Rincón",0.374193012714386,100082,55.0359178656947,519.93800586462,417.977984845638,1477.78024284317,21.308428359011
"77","San Martín de las Pirámides",0.360594004392624,29182,67.6174039422291,1082.00598871708,751.195996999741,1400.34562527081,23.127708497795
"78","San Mateo Atenco",0.396035999059677,97418,68.7313892596776,10831.2580347061,7904.7879319191,1523.90220811325,24.5266993788433
"79","San Simón de Guerrero",0.382232010364532,6692,71.0030811365971,106.384997427464,89.9010002072901,1322.71739130435,27.304347826087
"80","Santo Tomás",0.381238996982574,9729,62.3262995367988,40.3980012387037,29.9030004739761,1687.93213346968,23.9014807020732
"81","Soyaniquilpan de Juárez",0.325471013784409,14323,72.5832878208629,442.638998955488,391.782003231347,897.330008484669,23.6397409451454
"82","Sultepec",0.405636012554169,24145,66.9817823732152,178.990003988147,136.765003837645,1151.83890487011,18.8907935006765
"83","Tecámac",0.35309499502182,547503,71.7473918976421,32642.7649726868,21729.6609992981,1816.7792911123,25.1859879336118
"84","Tejupilco",0.411659002304077,79282,66.4285714285714,3084.94004690647,2022.65605147183,1932.24558772117,21.3682812185208
"85","Temamatla",0.33500999212265,14130,58.4741241330251,264.539010256529,224.31400257349,1687.93213346968,23.9014807020732
"86","Temascalapa",0.335449993610382,43593,67.9846716599895,751.390006184578,542.4020165205,1830.72665638393,24.8894364145313
"87","Temascalcingo",0.378881990909576,66414,65.7695852534562,2129.65603017807,1633.40003848076,1422.17215596614,22.6530394816186
"88","Temascaltepec",0.369832992553711,35014,67.1557339298638,439.639998212457,316.70300655812,1232.79386410582,21.0093937179583
"89","Temoaya",0.374774008989334,105766,65.8471465124041,1614.20093178749,1108.78102171421,1554.58939905791,26.2914833478583
"90","Tenancingo",0.38263800740242,104677,67.2435567613078,5164.53208065033,3902.30209255219,1808.61975414825,25.5651435674689
"91","Tenango del Aire",0.343046993017197,11359,68.5442744552619,232.379006385803,168.424001693726,1647.44130483438,21.4806071936384
"92","Tenango del Valle",0.375532001256943,90518,66.4347037807284,8111.70210504532,5022.59795588255,1494.07703164894,26.2418071544594
"93","Teoloyucan",0.341809988021851,65459,65.652139586294,5566.7789888382,4011.58005344868,1936.88065243975,25.2453839082371
"94","Teotihuacán",0.360592991113663,58507,71.1073985680191,5911.76099491119,4542.38302749395,1605.54535218808,21.6468029127933
"95","Tepetlaoxtoc",0.344543009996414,32564,68.167564525207,555.454011321068,441.518002584577,1949.41627170396,23.2269345577177
"96","Tepetlixpa",0.363846987485886,20500,65.5555555555556,470.711997687817,338.616996318102,1381.47350934106,23.5303008881239
"97","Tepotzotlán",0.352829992771149,103696,66.1051755959344,53853.7495622635,36698.8895816803,2063.39535519019,27.5485496189164
"98","Tequixquiac",0.336852014064789,39489,66.9479882237488,1633.3600217104,1146.66799603403,1801.5088969308,24.0729958486053
"99","Texcaltitlán",0.383625000715256,18482,68.1979245760567,383.813993871212,278.607005983591,1687.93213346968,23.9014807020732
"100","Texcalyacac",0.374103993177414,5736,71.9572001783326,132.486002087593,107.049003429711,1687.93213346968,23.9014807020732
"101","Texcoco",0.379409998655319,277562,69.078560508056,33609.4062576294,23736.0757236481,2229.22301824288,22.8206033127242
"102","Tezoyuca",0.353971004486084,47044,64.4108366880644,2626.52101278305,1841.00799971819,1628.15219473076,27.7872682444688
"103","Tianguistenco",0.372294008731842,84259,65.0829893738474,48046.5006383061,23502.1392709017,1393.65748876868,24.9069724300962
"104","Timilpan",0.338012993335724,16414,74.273001747974,398.168996781111,230.118000075221,1610.43395114102,23.0789087185489
"105","Tlalmanalco",0.350403994321823,49196,67.8876244665718,1066.78801727295,686.107002437115,1579.94206328001,22.4096954104984
"106","Tlalnepantla de Baz",0.376803010702133,672202,69.2420316518489,274527.608459473,206491.301635742,1873.1870812458,23.3457254835115
"107","Tlatlaya",0.367426991462708,31762,67.3660042751959,287.480994999409,193.368999868631,1475.42791828524,18.7401939525914
"108","Toluca",0.404267996549606,910608,71.6133426079263,469630.02678299,338660.45320034,1521.5826967185,24.2832078325059
"109","Tonanitla",0.372900009155273,14883,64.9974537429978,132.253996878862,86.3539983928204,1967.58581974097,26.8285752173831
"110","Tonatico",0.354312986135483,12912,69.1449814126394,287.22399443388,202.665994077921,1423.61226953936,23.14255145776
"111","Tultepec",0.353980988264084,157645,69.4456257335806,11376.8349723816,7330.12878656387,1977.29054108803,25.7918818564033
"112","Tultitlán",0.347869008779526,516341,68.4112335239441,96179.6968955994,70262.8226451874,1841.66960463932,24.8276599894102
"113","Valle de Bravo",0.369414985179901,61590,66.8304967707868,5529.78803873062,3621.2410800457,2048.4146239121,25.6855310576287
"114","Valle de Chalco Solidaridad",0.351635009050369,391731,67.0567575713893,13558.9348487854,9711.76502132416,1892.81926887304,25.3304575638188
"115","Villa de Allende",0.358990013599396,53275,61.4367767547935,446.069994702935,399.317008940503,1522.87257214997,22.4567483056614
"116","Villa del Carbón",0.359553009271622,51498,64.3458337229963,993.839994430542,768.345024347305,1619.94872074608,23.4386674959637
"117","Villa Guerrero",0.321294993162155,69086,53.2426447326795,3015.10003781319,2433.33497670293,1975.95896828066,27.1673437599297
"118","Villa Victoria",0.369224011898041,108196,53.8614657685734,1585.06297942996,1153.24399229884,1667.28865779519,22.544305120361
"119","Xalatlaco",0.388045012950897,30687,64.387828448207,653.758011698723,503.734991908073,1666.47455982193,24.7117165646448
"120","Xonacatlán",0.372002005577087,54633,69.3804167434999,2153.54996204376,1462.22503328323,1624.42803751739,25.5456286031204
"121","Zacazonapan",0.374498009681702,5109,66.2859753312015,125.041002422571,94.2509988024831,1397.09029246835,22.0146737852994
"122","Zacualpan",0.375847011804581,13522,63.6826783114993,96.491000264883,68.7879996448755,1328.60895335932,18.262379089995
"123","Zinacantepec",0.39538100361824,203872,67.7689460590984,13344.8500533104,9502.6200158596,1555.7401262183,23.8468547355868
"124","Zumpahuacán",0.343446999788284,18833,60.9102609102609,160.887002289295,128.522997967899,1360.71991223017,23.6872440124632
"125","Zumpango",0.340835988521576,280455,68.2408244126234,11757.838889122,8463.01616477966,1862.42877948247,24.9401236924417
